job number,Date,Company,PO Number,1 Person Emergency Kit,4 person Duffles,Dynamo Torches,Surf Lifesaving Kits,65 piece First Aid,Waterproof Plus Plain,Premium First Aid Kit,Compact First Aid Kits,Solar Lanterns,Waterproof Solar Torch,Powerbank 10000,Powerbank 15000,KN95 Masks,Gloves,Special Items,Delivered,Barlows Invoice,Invoiced,Paid,
,,,,1GG,4GG,GGT,,FA65,FAWP,PFAK,COMPACT,SOLARL,SOLART,PB10000,PB15000,$1.50 each,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,OPENING STOCK -01/04/2023,,416,558,1087,5,780,552,514,452,552,342,846,715,"30,640","7,450",,,,,,
,,29/06/2023 - Ningbo Tianbo,,1000,,,,,,,,,,,,,,,,,,,
,,29/06/2023 - Ningbo Tianbo - AA 4 Person Duffles,,,246,,,,,,,,,,,,,,,,,,
,,26/07/2023 - Ningbo Tianbo - AA 4 Person Duffles,,,254,,,,,,,,,,,,,,,,,,
,,26/07/2023 - Ningbo Tianbo - AA 1 Person Kits,,452,,,,,,,,,,,,,,,,,,,
,,26/07/2023 - Ningbo Tianbo,,,500,,,,,,,,,,,,,,,,,,
,,21/12/2023 - Ningbo Tianbo - AA Yellow Kits,,48,,,,,,,,,,,,,,,,,,,
,,21/12/2023 - Ningbo Tianbo - AA Yellow Kits,,500,500,,,,,,,,,,,,,,,,,,
,,21/12/2023 - Ningbo Tianbo - AA Yellow Kits,,500,500,,,,,,,,,,,,,,,,,,
,,21/12/2023 - Ningbo Tianbo,,500,374,,,,,,,,500,,,,,,,,,,
,,21/09/2023 - Ningbo Tianbo - AA 2 person Kits,,,,,,,,,,,,,,,,500,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,3416,2932,1087,5,780,552,514,452,552,842,846,715,"30,640","7,450",500,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
4211A,30/06/2023,The NZ Automobile Association,331578,,246,,,,,,,,,,,,,,30/06/2023,,√,√,
4211B,20/12/2022,The NZ Automobile Association,331578,,254,,,,,,,,,,,,,,26/07/2023,,√,√,
4243A,20/02/2023,The NZ Automobile Association,331592,452,,,,,,,,,,,,,,,28/07/2023,√,√,√,
4243B,20/02/2023,The NZ Automobile Association,331592,48,,,,,,,,,,,,,,,21/12/2023,-,√,√,
4283,1/04/2023,Ngā Karanga Hapū O Kairākau ,,,50,,,,,,,,,,,,,,3/04/2023,√,√,√,
4284,3/04/2023,Seamless Solutions,26715,,,,,,10,,,,2,,,,,,4/04/2023,√,√,√,
4285,3/04/2023,Mitre 10 Petone,P-924201,8,,,,,,,,,,,,,,,4/04/2023,√,√,√,
4286,4/04/2023,NZ Safety Blackwoods,K456823,16,,,,,,,,,,,,,,,4/04/2023,√,√,√,
4287,4/04/2023,Mitre 10 Westgate,W-230715,4,,12,,,10,,,12,12,12,12,,,,6/04/2023,√,√,√,
4288,12/04/2023,Mitre 10 Mega Petone,P-925586,4,,,,,,,,,,,,,,,12/04/2023,√,√,√,
4289,12/04/2023,NZ Safety Blackwoods,K458660,28,,,,,,,,,,,,,,,12/04/2023,√,√,√,
